id	comentario	supermercado	fecha
4	Está tienda a Sido la mejor en estos tiempos difíciles y han mantenido sus precios estables es de aplaudir a este gran grupo	Ara	1/04/2020
4	Por q cierran las tiendas en Monteria???	Ara	1/04/2020
4	En ara 127 con suba siguen todos los protocolos y buen surtido y buena atención gracias ARA	Ara	1/04/2020
4	OJO PILAS CON LOS PRECIOS ESTAN ELEVADOS	Ara	1/04/2020
4	Deberían de dejar de cobrar 5000 por comprar con tarjeta. sugiero que hagan más convenios con los bancos	Ara	1/04/2020
4	A que hora está cerrado para la limpieza para no ir las personas a esa hora a perder tiempo. en el ara de mi ciudad Dosquebradas los están cerrando cada tres horas es decir ellos abren a las 7 y a las 10 cierran hasta las 11 y así sucesivamente. Espero te sirva de algo la información	Ara	1/04/2020
4	Ara ustedes son de lo mejor se consiguen todos los productos gracias por un buen servicio	Ara	1/04/2020
4	Que horarios son los de limpieza y los de atención por favor hay restricciones de cedulas?	Ara	1/04/2020
4	Cuales son los horarios de las tiendas en este momento en Bogota?	Ara	1/04/2020
4	Quiero felicitar a Tiendas Ara en Cartagena. No han incrementado los precios y esto nos ayuda en estos momentos dificiles. Gracias por su ayuda con la ciudadania. Eso hace que ganen mas clientes. Ojala comiencen a hacer domicilios.	Ara	1/04/2020
4	excelente	Ara	1/04/2020
4	La verdad esos pico y placas no convienen pz la verdad deberían dejar entrar pz con tapabocas y listo de a 5 a 8 personas siempre que no halla aglomeración solo eso del resto todo sería bien .	Ara	1/04/2020
4	Si se debe llevar puesto el tapabocas porque todos soltamos partículas de saliva y no sabemos quién tiene o no tiene el virus	Ara	1/04/2020
4	Excelente medidas tiendas.ara son lo mejor desafortunadamente hay personas que no ven más allá siempre miran las cosas malas pero no ven que allí también trabajan seres humanos no trabajan máquinas y hacen todo lo posible por dar lo mejor al cliente lo que pasa es que la ignorancia de las personas no las deja ver que estamos en un tiempo difícil que en ves de estar haciendo más unión siguen aún en guerra mi esposo es trabajador allí y como familia me da miedo que muy probablemente llegue infectado entonces que las personas que quieren ir a comprar y no cumplan con los requisitos sanitarios no se sientan rechazados sean mas conscientes que si es de la salud busque otro horario para ir a comprar no con uniforme que los tapabocas solo lo usan los que están infectados? Dejemonos de cosas pero hay muchas personas que están infectadas por este virus y no saben y siguen teniendo contacto con las personas entonces para evitar también tengamos un poco de conciencia y cuidemonos por nosotros por nuestras familias yo no tengo ningún problema con mi esposo cuando llega a casa y lo primero que hace el es realizarse una muy buena higiene y lo hace por cuidarnos así que si usted se siente rechazado no lo sienta de esa manera mire más allá que esas personas también tienen hijos tienen madre tienen esposa abuelos entonces CUMPLA CON LOS PROTOCOLOS SANITARIOS CUÍDENSE USTEDES TAMBIÉN AYUDEN AL Mundo en ves de estarse quejando por todo vean lo positivo siempre que he ido mantienen todo organizado sus frutas y verduras en unas condiciones excelentes todos sus productos tiendas.ara los felicito por su ardua labor y ánimo que los pequeños detalles se mejoran ustedes se están acogiendo a las leyes... 💗Paz para todos estamos para construir un mundo que sea más de paz no ven este acontecimiento? Llenen se de amor mucho amor...	Ara	1/04/2020
4	Como hago para saber una información personal me pueden responder por los MD	Ara	1/04/2020
4	Será que consigo gel antibacterial en ara Bogotá	Ara	1/04/2020
4	Alguien me puede por favor contar que sucedió?	Ara	1/04/2020
4	Spaos hptas por discriminar a los médicos!!!	Ara	1/04/2020
4	Excelente ARA	Ara	1/04/2020
4	Ara es tan discriminatorio que no acepta extranjeros para trabajar.	Ara	1/04/2020
